x,y,z
-0.00714285714285715,-0.15,0.00407817255029939
-0.0142857142857143,-0.15,0.00407819492737661
-0.0214285714285714,-0.15,0.00407821730445383
-0.0285714285714286,-0.15,0.00407823968153106
-0.0357142857142857,-0.15,0.00407826205860828
-0.0428571428571429,-0.15,0.00407828443568551
-0.05,-0.15,0.00407830681276273
-0.0571428571428571,-0.15,0.00407832918983995
-0.0642857142857143,-0.15,0.00407835156691718
-0.0714285714285714,-0.15,0.0040783739439944
-0.0785714285714286,-0.15,0.00407839632107162
-0.0857142857142857,-0.15,0.00407841869814885
-0.0928571428571429,-0.15,0.00407844107522607
-0.1,-0.15,0.0040784634523033
-0.107142857142857,-0.15,0.00407848582938052
-0.114285714285714,-0.15,0.00407850820645774
-0.121428571428571,-0.15,0.00407853058353497
-0.128571428571429,-0.15,0.00407855296061219
-0.135714285714286,-0.15,0.00407857533768942
-0.142857142857143,-0.15,0.00407859771476664
-0.15,-0.15,0.00407862009184386
-0.15,-0.15,0.00407864246892109
-0.15,-0.142857142857143,0.00407866484599831
-0.15,-0.135714285714286,0.00407868722307553
-0.15,-0.128571428571429,0.00407870960015276
-0.15,-0.121428571428571,0.00407873197722998
-0.15,-0.114285714285714,0.00407875435430721
-0.15,-0.107142857142857,0.00407877673138443
-0.15,-0.1,0.00407879910846165
-0.15,-0.0928571428571429,0.00407882148553888
-0.15,-0.0857142857142857,0.0040788438626161
-0.15,-0.0785714285714286,0.00407886623969333
-0.15,-0.0714285714285714,0.00407888861677055
-0.15,-0.0642857142857143,0.00407891099384777
-0.15,-0.0571428571428571,0.004078933370925
-0.15,-0.05,0.00407895574800222
-0.15,-0.0428571428571429,0.00407897812507945
-0.15,-0.0357142857142857,0.00407900050215667
-0.15,-0.0285714285714286,0.00407902287923389
-0.15,-0.0214285714285714,0.00407904525631112
-0.15,-0.0142857142857143,0.00407906763338834
-0.15,-0.00714285714285715,0.00407909001046556
-0.15,0,0.00407911238754279
-0.15,0.00714285714285714,0.00407913476462001
-0.15,0.0142857142857143,0.00407915714169724
-0.15,0.0214285714285714,0.00407917951877446
-0.15,0.0285714285714286,0.00407920189585168
-0.15,0.0357142857142857,0.00407922427292891
-0.15,0.0428571428571429,0.00407924665000613
-0.15,0.05,0.00407926902708336
-0.15,0.0571428571428571,0.00407929140416058
-0.15,0.0642857142857143,0.0040793137812378
-0.15,0.0714285714285714,0.00407933615831503
-0.15,0.0785714285714286,0.00407935853539225
-0.15,0.0857142857142857,0.00407938091246947
-0.15,0.0928571428571429,0.0040794032895467
-0.15,0.1,0.00407942566662392
-0.15,0.107142857142857,0.00407944804370115
-0.15,0.114285714285714,0.00407947042077837
-0.15,0.121428571428571,0.00407949279785559
-0.15,0.128571428571429,0.00407951517493282
-0.15,0.135714285714286,0.00407953755201004
-0.15,0.142857142857143,0.00407955992908727
-0.15,0.15,0.00407958230616449
-0.15,0.15,0.00407960468324171
-0.142857142857143,0.15,0.00407962706031894
-0.135714285714286,0.15,0.00407964943739616
-0.128571428571429,0.15,0.00407967181447338
-0.121428571428571,0.15,0.00407969419155061
-0.114285714285714,0.15,0.00407971656862783
-0.107142857142857,0.15,0.00407973894570506
-0.1,0.15,0.00407976132278228
-0.0928571428571429,0.15,0.0040797836998595
-0.0857142857142857,0.15,0.00407980607693673
-0.0785714285714286,0.15,0.00407982845401395
-0.0714285714285714,0.15,0.00407985083109118
-0.0642857142857143,0.15,0.0040798732081684
-0.0571428571428571,0.15,0.00407989558524562
-0.05,0.15,0.00407991796232285
-0.0428571428571429,0.15,0.00407994033940007
-0.0357142857142857,0.15,0.00407996271647729
-0.0285714285714286,0.15,0.00407998509355452
-0.0214285714285714,0.15,0.00408000747063174
-0.0142857142857143,0.15,0.00408002984770897
-0.00714285714285715,0.15,0.00408005222478619
0,0.15,0.00408007460186341
0.00714285714285714,0.15,0.00408009697894064
0.0142857142857143,0.15,0.00408011935601786
0.0214285714285714,0.15,0.00408014173309509
0.0285714285714286,0.15,0.00408016411017231
0.0357142857142857,0.15,0.00408018648724953
0.0428571428571429,0.15,0.00408020886432676
0.05,0.15,0.00408023124140398
0.0571428571428571,0.15,0.0040802536184812
0.0642857142857143,0.15,0.00408027599555843
0.0714285714285714,0.15,0.00408029837263565
0.0785714285714286,0.15,0.00408032074971288
0.0857142857142857,0.15,0.0040803431267901
0.0928571428571429,0.15,0.00408036550386732
0.1,0.15,0.00408038788094455
0.107142857142857,0.15,0.00408041025802177
0.114285714285714,0.15,0.004080432635099
0.121428571428571,0.15,0.00408045501217622
0.128571428571429,0.15,0.00408047738925344
0.135714285714286,0.15,0.00408049976633067
0.142857142857143,0.15,0.00408052214340789
0.15,0.15,0.00408054452048511
0.15,0.15,0.00408056689756234
0.15,0.142857142857143,0.00408058927463956
0.15,0.135714285714286,0.00408061165171679
0.15,0.128571428571429,0.00408063402879401
0.15,0.121428571428571,0.00408065640587123
0.15,0.114285714285714,0.00408067878294846
0.15,0.107142857142857,0.00408070116002568
0.15,0.1,0.00408072353710291
0.15,0.0928571428571429,0.00408074591418013
0.15,0.0857142857142857,0.00408076829125735
0.15,0.0785714285714286,0.00408079066833458
0.15,0.0714285714285714,0.0040808130454118
0.15,0.0642857142857143,0.00408083542248903
0.15,0.0571428571428571,0.00408085779956625
0.15,0.05,0.00408088017664347
0.15,0.0428571428571429,0.0040809025537207
0.15,0.0357142857142857,0.00408092493079792
0.15,0.0285714285714286,0.00408094730787514
0.15,0.0214285714285714,0.00408096968495237
0.15,0.0142857142857143,0.00408099206202959
0.15,0.00714285714285714,0.00408101443910682
0.15,0,0.00408103681618404
0.15,-0.00714285714285715,0.00408105919326126
0.15,-0.0142857142857143,0.00408108157033849
0.15,-0.0214285714285714,0.00408110394741571
0.15,-0.0285714285714286,0.00408112632449294
0.15,-0.0357142857142857,0.00408114870157016
0.15,-0.0428571428571429,0.00408117107864738
0.15,-0.05,0.00408119345572461
0.15,-0.0571428571428571,0.00408121583280183
0.15,-0.0642857142857143,0.00408123820987905
0.15,-0.0714285714285714,0.00408126058695628
0.15,-0.0785714285714286,0.0040812829640335
0.15,-0.0857142857142857,0.00408130534111073
0.15,-0.0928571428571429,0.00408132771818795
0.15,-0.1,0.00408135009526517
0.15,-0.107142857142857,0.0040813724723424
0.15,-0.114285714285714,0.00408139484941962
0.15,-0.121428571428571,0.00408141722649685
0.15,-0.128571428571429,0.00408143960357407
0.15,-0.135714285714286,0.00408146198065129
0.15,-0.142857142857143,0.00408148435772852
0.15,-0.15,0.00408150673480574
0.15,-0.15,0.00408152911188296
0.142857142857143,-0.15,0.00408155148896019
